Gen	t_n8	t_n9	t_n10	t_n11	t_n12	t_n13	mu1	mu2	mu3	mu_bar	sigma2_1	sigma2_2	sigma2_3	sigma2_bar	lnL
1326	0.1799602	0.1619519	0.0975640	0.0722501	0.0314389	0.0558986	0.3576199	0.1704928	1.5717010	0.3372732	0.0273562	0.0979791	0.0259966	0.0943998	-34990.553
1328	0.1799602	0.1619519	0.0954905	0.0722501	0.0314770	0.0558986	0.3448425	0.1577571	1.5717010	0.3372732	0.0273562	0.0979791	0.0320838	0.0943998	-34994.092
1330	0.1593140	0.1394733	0.0822366	0.0622220	0.0271080	0.0456055	0.4336295	0.1831825	1.7125021	0.3372732	0.0067307	0.0979791	0.0682614	0.0943998	-34997.056
1332	0.1330763	0.1165032	0.0723335	0.0519745	0.0226436	0.0351826	0.5480149	0.2192993	2.2893440	0.3372732	0.0067307	0.0979791	0.0366481	0.0709359	-34990.056
1334	0.1103259	0.1004831	0.0635682	0.0439790	0.0198682	0.0308704	0.6245659	0.2604955	2.6091377	0.3487969	0.0146653	0.0379704	0.0777490	0.0202565	-34998.582
1336	0.1486108	0.1333625	0.0880815	0.0583695	0.0263693	0.0409716	0.4363335	0.1859066	1.9463290	0.3487969	0.0146653	0.0379704	0.0372659	0.0202565	-35003.682
1338	0.1710142	0.1612358	0.1008467	0.0753617	0.0318806	0.0495348	0.3785427	0.1498068	1.6098614	0.4991243	0.0146653	0.0158311	0.0235175	0.0202565	-34994.605
1340	0.1710142	0.1612358	0.1053891	0.0723479	0.0318806	0.0495348	0.3698599	0.1580101	1.4118469	0.2498965	0.0050967	0.0158311	0.0400291	0.0202565	-34997.274
1342	0.1778315	0.1709503	0.1048588	0.0733442	0.0338015	0.0525193	0.3691567	0.1490310	1.4918116	0.2498965	0.0128587	0.0158311	0.0400291	0.0202565	-34992.416
1344	0.1461435	0.1336305	0.0861738	0.0602749	0.0265853	0.0431608	0.4118170	0.1813451	1.8152784	0.2498965	0.0128587	0.0322567	0.0400291	0.0902393	-34999.173
1346	0.1344408	0.1229299	0.0792733	0.0530780	0.0255392	0.0416525	0.4702075	0.2027728	1.9732926	0.2498965	0.0060684	0.0170174	0.0284792	0.0902393	-34995.884
1348	0.1779112	0.1618378	0.0979943	0.0732500	0.0303263	0.0609441	0.3553181	0.1655077	1.6321361	0.2498965	0.0075354	0.0414578	0.0369668	0.0266783	-34989.951
1350	0.1779112	0.1618378	0.1010167	0.0700373	0.0303263	0.0593904	0.3548972	0.1525043	1.3696977	0.1964735	0.0075354	0.0516746	0.0680285	0.0266783	-34994.316
1352	0.1325632	0.1245366	0.0762069	0.0521854	0.0249933	0.0442523	0.4763028	0.2046740	1.6962786	0.2836586	0.0105404	0.0146276	0.0680285	0.0266783	-34993.959
1354	0.1425667	0.1364780	0.0819577	0.0561234	0.0268794	0.0475916	0.4416723	0.1925269	1.5273982	0.2494651	0.0052562	0.0146276	0.0680285	0.0266783	-34991.991
1356	0.1341894	0.1318860	0.0838948	0.0533175	0.0238302	0.0452122	0.4649165	0.1935158	1.8947067	0.4524153	0.0052562	0.0146276	0.0409963	0.0266783	-34990.166
1358	0.1282552	0.1267853	0.0784804	0.0512123	0.0238302	0.0484336	0.4649165	0.1768397	2.0166806	0.4756237	0.0082226	0.0146276	0.0508813	0.0266783	-34998.765
1360	0.1529944	0.1452123	0.0879146	0.0586555	0.0272937	0.0554730	0.4059201	0.1767007	1.7607703	0.2561301	0.0082226	0.0146276	0.0508813	0.0329850	-34995.999
1362	0.1683329	0.1587747	0.1005826	0.0671074	0.0301242	0.0634663	0.3547963	0.1389972	1.4032210	0.2561301	0.0049220	0.0146276	0.0771527	0.0329850	-34993.895
1364	0.1683329	0.1587747	0.0958394	0.0671074	0.0301242	0.0634663	0.3547963	0.1517496	1.4032210	0.2561301	0.0019473	0.0146276	0.0771527	0.0329850	-34996.338
1366	0.1648582	0.1587747	0.0958394	0.0671074	0.0277500	0.0634663	0.3547963	0.1517496	1.3786650	0.2561301	0.0019473	0.0347991	0.0621835	0.0970378	-34996.152
1368	0.1236882	0.1192679	0.0743239	0.0531083	0.0212724	0.0480096	0.4690230	0.2067735	2.1708600	0.4421297	0.0039924	0.0217236	0.0327523	0.0970378	-34996.046
1370	0.1484213	0.1478106	0.0860987	0.0604121	0.0255261	0.0533872	0.3908645	0.1723165	1.8091054	0.2819992	0.0039924	0.0217236	0.0542213	0.0375545	-34998.559
1372	0.1599169	0.1455525	0.0860987	
